Organization Name,Topic area,URL,Main Web Page,Mission Statement,Policy Isssue Resources,Campaign and Advocacy,Public Facing Advocacy Writing,Newsletters,Annual reports,Speeches
Amistad Law Project,Criminal Justice Issues and Prisoners' Rights,https://amistadlaw.org/,1,,,, ,,,
Amistad Law Project,Criminal Justice Issues and Prisoners' Rights,https://amistadlaw.org/,,1,,,,,,
Amistad Law Project,Criminal Justice Issues and Prisoners' Rights,https://amistadlaw.org/news/free-them-heal-us-holds-hybrid-meetings-build-community-power,,,1,,,,,
Amistad Law Project,Criminal Justice Issues and Prisoners' Rights,https://amistadlaw.org/pa-prison-pandemic-tracker,,,1,,,,,
Amistad Law Project,Criminal Justice Issues and Prisoners' Rights,https://paprisonpandemictracker.com/,,,1,,,,,
Amistad Law Project,Criminal Justice Issues and Prisoners' Rights,https://amistadlaw.org/news/amistad-statement-partial-defeat-prison-gerrymandering,,,,1,,,,
Amistad Law Project,Criminal Justice Issues and Prisoners' Rights,https://amistadlaw.org/news/victory-philly-expands-non-police-first-responders-mental-health-calls,,,,1,,,,
Amistad Law Project,Criminal Justice Issues and Prisoners' Rights,https://amistadlaw.org/news/philly-city-council-curbs-police-power-stop-drivers-minor-violations,,,,1,,,,
Amistad Law Project,Criminal Justice Issues and Prisoners' Rights,https://amistadlaw.org/news/amistad-continues-fight-non-police-responses-mental-health-calls,,,,1,,,,
Amistad Law Project,Criminal Justice Issues and Prisoners' Rights,https://amistadlaw.org/news/report-back-press-conference-and-rally-free-our-elders,,,,1,,,,
Amistad Law Project,Criminal Justice Issues and Prisoners' Rights,https://amistadlaw.org/news/amistad-fights-equitable-redistricting-and-community-power,,,,1,,,,
Amistad Law Project,Criminal Justice Issues and Prisoners' Rights,https://amistadlaw.org/news/free-them-heal-us-holds-hybrid-meetings-build-community-power,,,,1,,,,
Amistad Law Project,Criminal Justice Issues and Prisoners' Rights,https://amistadlaw.org/news/october-26-special-event-about-transformative-justice-behind-prison-walls,,,,1,,,,
Amistad Law Project,Criminal Justice Issues and Prisoners' Rights,https://drexel.edu/~/media/Files/law/academics/clinical/clc/CLC-pandemic-pa-prisons-report.ashx?la=en,,,,1,,,,
Amistad Law Project,Criminal Justice Issues and Prisoners' Rights,https://amistadlaw.org/fighting-freethevulnerable-during-pandemic,,,,1,,,,
Amistad Law Project,Criminal Justice Issues and Prisoners' Rights,https://amistadlaw.org/abolishing-death-incarceration,,,,1,,,,
Amistad Law Project,Criminal Justice Issues and Prisoners' Rights,https://amistadlaw.org/second-chances-board-pardons,,,,1,,,,
Amistad Law Project,Criminal Justice Issues and Prisoners' Rights,https://amistadlaw.org/divesting-police-invest-our-communities,,,,1,,,,
