Organization Name,Topic area,URL,Main Web Page,Mission Statement,Policy Isssue Resources,Campaign and Advocacy,Public Facing Advocacy Writing,Newsletters,Annual reports,Speeches
Coalition to Abolish Slavery and Trafficking,Human Trafficking,https://www.castla.org/,1,,,,,,,
Coalition to Abolish Slavery and Trafficking,Human Trafficking,https://www.castla.org/about/,,1,,,,,,
Coalition to Abolish Slavery and Trafficking,Human Trafficking,https://www.castla.org/human-trafficking/,,,1,,,,,
Coalition to Abolish Slavery and Trafficking,Human Trafficking,https://www.cambridge.org/core/journals/business-and-human-rights-journal/article/expanding-californias-law-to-increase-protections-for-temporary-guest-workers-benefits-businesses/F2947651DBABC658CA383FE17A796821/share/16e57746c31403b4cdc3402da3774f572baf7b7c,,,1,,,,,
Coalition to Abolish Slavery and Trafficking,Human Trafficking,https://www.castla.org/wp-content/themes/castla/assets/files/child20labor20traffickingisachildwelfareissuefinaljuly2015-2.docx,,,1,,,,,
Coalition to Abolish Slavery and Trafficking,Human Trafficking,https://www.castla.org/wp-content/uploads/2019/11/CAST-NERA-Labor-Trafficking-Cases-Data-Analysis-Nov2019Report-Final.pdf,,,1,,,,,
Coalition to Abolish Slavery and Trafficking,Human Trafficking,https://www.castla.org/wp-content/themes/castla/assets/files/Full_Report-Practice_Implications_for_Commercially_Sex_Trafficked_Youth-Examining_Data_and_Outcomes.pdf,,,1,,,,,
Coalition to Abolish Slavery and Trafficking,Human Trafficking,https://www.castla.org/wp-content/themes/castla/assets/files/Full_Report-Practice_Implications_for_Commercially_Sex_Trafficked_Youth-Examining_Data_and_Outcomes.pdf,,,1,,,,,
Coalition to Abolish Slavery and Trafficking,Human Trafficking,https://castla.us17.list-manage.com/track/click?u=b6f7967b33fa7935d2649ec46&id=5b5a5e587a&e=ddfdbf35ad,,,1,,,,,
Coalition to Abolish Slavery and Trafficking,Human Trafficking,https://www.castla.org/wp-content/uploads/2021/07/CAST-Hotline-2021-Semiannual-Report-January-June-2021.pdf,,,,1,,,,
Coalition to Abolish Slavery and Trafficking,Human Trafficking,https://www.castla.org/wp-content/uploads/2019/11/CASTLittleHooverCommisionCommentsNov62019final.pdf,,,,1,,,,
Coalition to Abolish Slavery and Trafficking,Human Trafficking,https://www.castla.org/wp-content/uploads/2019/11/ChildLaborTraffickinginCANov2019final.pdf,,,,1,,,,
Coalition to Abolish Slavery and Trafficking,Human Trafficking,https://www.castla.org/wp-content/themes/castla/assets/files/an_analysis_of_state_safe_harbor_laws_and_recommendations_for_states_considering_future_safe_harbor_legislation.pdf,,,,1,,,,
Coalition to Abolish Slavery and Trafficking,Human Trafficking,https://www.castla.org/wp-content/themes/castla/assets/files/CASTPolicychangetips.pdf,,,,1,,,,
Coalition to Abolish Slavery and Trafficking,Human Trafficking,https://www.castla.org/human-trafficking/get-involved/,,,,,,,,
Coalition to Abolish Slavery and Trafficking,Human Trafficking,https://www.castla.org/wp-content/uploads/2020/12/2020-IR-Individual-Pages.pdf,,,,,,,1,
Coalition to Abolish Slavery and Trafficking,Human Trafficking,https://www.castla.org/wp-content/uploads/2020/10/CAST-Hotline-2019-Annual-Report.pdf,,,,,,,1,
Coalition to Abolish Slavery and Trafficking,Human Trafficking,https://www.castla.org/wp-content/themes/castla/assets/files/cast-hotline-jan-june-2018-report.pdf,,,,,,,1,
Coalition to Abolish Slavery and Trafficking,Human Trafficking,https://www.castla.org/wp-content/uploads/2020/10/CAST-Hotline-Semiannual-Report-Jan-June-2020.pdf,,,,,,,1,
Coalition to Abolish Slavery and Trafficking,Human Trafficking,https://www.castla.org/wp-content/themes/castla/assets/files/CAST_Hotline_Jul-Dec%202017_Report.pdf,,,,,,,1,
Coalition to Abolish Slavery and Trafficking,Human Trafficking,https://www.castla.org/wp-content/themes/castla/assets/files/CAST_Hotline_Jan-Jun_2017_Report.pdf,,,,,,,1,
Coalition to Abolish Slavery and Trafficking,Human Trafficking,https://www.castla.org/cast-announces-human-trafficking-budget-relief-at-press-conference/,,,,,,,,1
, ,,,,,,,,,
Polaris Project,Human Trafficking,https://swoppittsburgh.com/,1,,,,,,,
Polaris Project,Human Trafficking,https://polarisproject.org/the-big-fights/,,1,,,,,,
Polaris Project,Human Trafficking,https://polarisproject.org/sex-trafficking/,,,1,,,,,
Polaris Project,Human Trafficking,https://polarisproject.org/love-and-trafficking/,,,1,,,,,
Polaris Project,Human Trafficking,https://polarisproject.org/resources/sex-trafficking-in-the-u-s-a-closer-look-at-u-s-citizen-victims/,,,1,,,,,
Polaris Project,Human Trafficking,https://polarisproject.org/resources/more-than-drinks-for-sale-sex-trafficking-in-u-s-cantinas-and-bars/,,,1,,,,,
Polaris Project,Human Trafficking,https://polarisproject.org/resources/recruitment-human-trafficking-and-temporary-visa-workers/,,,1,,,,,
Polaris Project,Human Trafficking,https://polarisproject.org/resources/labor-exploitation-and-trafficking-of-agricultural-workers-during-the-pandemic/,,,1,,,,,
Polaris Project,Human Trafficking,https://polarisproject.org/resources/guia-esencial-para-trabajadores-del-campo/,,,1,,,,,
Polaris Project,Human Trafficking,https://polarisproject.org/resources/sexual-exploitation-during-the-pandemic/,,,1,,,,,
Polaris Project,Human Trafficking,https://polarisproject.org/resources/love-trafficking-social-media-toolkit/,,,1,,,,,
Polaris Project,Human Trafficking,https://polarisproject.org/resources/countering-qanon-understanding-the-role-of-human-trafficking-in-the-disinformation-extremist-nexus/,,,1,,,,,
Polaris Project,Human Trafficking,https://polarisproject.org/resources/sex-trafficking-and-lgbtq-youth/,,,1,,,,,
Polaris Project,Human Trafficking,https://polarisproject.org/resources/sex-trafficking-in-or-from-latin-america-research-overview-presentation/,,,1,,,,,
Polaris Project,Human Trafficking,https://polarisproject.org/sex-trafficking/,,,1,,,,,
Polaris Project,Human Trafficking,https://polarisproject.org/how-human-trafficking-happens/,,,1,,,,,
Polaris Project,Human Trafficking,https://polarisproject.org/recognizing-human-trafficking/,,,1,,,,,
Polaris Project,Human Trafficking,https://polarisproject.org/recognizing-human-trafficking-vulnerabilities-recruitment/,,,1,,,,,
Polaris Project,Human Trafficking,https://polarisproject.org/myths-facts-and-statistics/#block_5da76b0e2d4f4-1,,,1,,,,,
Polaris Project,Human Trafficking,https://polarisproject.org/centering-survivors/,,,1,,,,,
Polaris Project,Human Trafficking,https://polarisproject.org/congressional-priorities/,,,1,,,,,
Polaris Project,Human Trafficking,https://polarisproject.org/wp-content/uploads/2020/01/Polaris-TVPRA-2019-Analysis.pdf,,,1,,,,,
Polaris Project,Human Trafficking,https://polarisproject.org/resources/the-typology-of-modern-slavery-defining-sex-and-labor-trafficking-in-the-united-states/,,,1,,,,,
Polaris Project,Human Trafficking,https://polarisproject.org/human-trafficking/,,,1,,,,,
Polaris Project,Human Trafficking,https://polarisproject.org/financial-crime-case-studies/,,,1,,,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/2021/05/trafficking-vs-smuggling-understanding-the-difference/,,,1,,,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/2020/06/labor-trafficking-red-flags-in-latest-work-visa-program-changes/,,,1,,,,,
Polaris Project,Human Trafficking,https://polarisproject.org/policy-and-legislation/,,,,1,,,,
Polaris Project,Human Trafficking,https://polarisproject.org/wp-content/uploads/2020/01/Polaris-TVPRA-2019-Analysis.pdf,,,,1,,,,
Polaris Project,Human Trafficking,https://donate.polarisproject.org/page/54176/donate/1,,,,1,,,,
Polaris Project,Human Trafficking,https://polarisproject.org/take-action/,,,,1,,,,
Polaris Project,Human Trafficking,https://act.polarisproject.org/page/86484/action/1?ea.tracking.id=takeaction,,,,1,,,,
Polaris Project,Human Trafficking,https://act.polarisproject.org/page/84391/action/1?ea.tracking.id=takeaction,,,,1,,,,
Polaris Project,Human Trafficking,https://act.polarisproject.org/page/75903/petition/1?ea.tracking.id=takeaction,,,,1,,,,
Polaris Project,Human Trafficking,https://polarisproject.org/child-sex-trafficking/,,,,1,,,,
Polaris Project,Human Trafficking,https://polarisproject.org/2019-us-national-human-trafficking-hotline-statistics/,,,,1,,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/2021/06/joint-open-letter-to-g7-heads-of-state-and-government/,,,,1,,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/2020/08/what-we-know-about-how-child-sex-trafficking-happens/,,,,,1,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/2021/08/protecting-trafficking-victims-ices-new-policy-directive/,,,,,1,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/2021/07/human-trafficking-during-a-pandemic-what-we-can-learn-from-a-snapshot-in-time/,,,,,1,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/2021/10/human-trafficking-101-combating-misinformation-with-education/,,,,,1,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/2021/10/the-new-and-improved-global-modern-slavery-directory/,,,,,1,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/2021/07/bringing-survivor-expertise-to-anti-money-laundering-professionals/,,,,,1,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/2021/05/reducing-vulnerabilities-to-human-trafficking-with-the-equality-act/,,,,,1,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/2021/03/the-national-survivor-study-harnessing-the-power-of-survivors-to-shed-light-on-trafficking/,,,,,1,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/2021/03/impact-of-the-global-modern-slavery-directory-in-2020/,,,,,1,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/2021/02/love-and-trafficking-how-traffickers-groom-control-their-victims/,,,,,1,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/2021/02/finding-solutions-and-solidarity/,,,,,1,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/2021/01/human-trafficking-does-not-happen-in-a-vacuum/,,,,,1,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/2020/10/happy-20th-anniversary-trafficking-victims-protection-act/,,,,,1,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/2020/10/lessons-learned-about-trafficking-40-years-later-a-survivors-perspective/,,,,,1,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/2020/10/larsen-farms-should-make-agriculture-businesses-look-in-the-mirror/,,,,,1,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/2020/09/separating-fact-from-fiction-recent-cases-of-recovered-missing-children-and-what-they-show-about-child-sex-trafficking/,,,,,1,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/2020/08/what-we-know-about-how-child-sex-trafficking-happens/,,,,,1,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/2020/08/polaris-cto-testifies-on-the-role-of-technology-in-countering-trafficking-in-persons/,,,,,1,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/2020/08/why-an-increase-in-victims-and-survivors-contacting-the-trafficking-hotline-is-meaningful/,,,,,1,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/2020/07/racial-disparities-covid-19-and-human-trafficking/,,,,,1,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/2020/07/how-unproven-trafficking-stories-spread-online-and-why-stopping-them-matters/,,,,,1,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/2020/07/new-georgia-law-helps-trafficking-survivors-clear-their-records/,,,,,1,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/2020/07/human-trafficking-and-prison-labor/,,,,,1,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/2020/07/how-the-new-supreme-court-rulings-affect-human-trafficking/,,,,,1,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/page/4/,,,,,1,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/page/5/,,,,,1,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/page/6/,,,,,1,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/page/7/,,,,,1,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/page/8/,,,,,1,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/page/9/,,,,,1,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/page/10/,,,,,1,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/page/11/,,,,,1,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/page/12/,,,,,1,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/page/13/,,,,,1,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/page/14/,,,,,1,,,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/page/15/,,,,,1,,,
Polaris Project,Human Trafficking,https://polarisproject.org/wp-content/uploads/2019/09/Polaris-2019-US-National-Human-Trafficking-Hotline-Data-Report.pdf,,,,,,,1,
Polaris Project,Human Trafficking,https://polarisproject.org/blog/2020/06/2020-trafficking-in-persons-report-recommendations/,,,,,,,1,
, ,,,,,,,,,
Intercommunity Justice and Peace Center ,Human Trafficking,https://ijpccincinnati.org/,1,,,,,,,
Intercommunity Justice and Peace Center ,Human Trafficking,https://ijpccincinnati.org/programs/human-trafficking/,,1,,,,,,
Intercommunity Justice and Peace Center ,Human Trafficking,https://ijpccincinnati.org/about/,,1,,,,,,
Intercommunity Justice and Peace Center ,Human Trafficking,https://documentcloud.adobe.com/link/track?uri=urn:aaid:scds:US:35909156-0e8b-4a6b-b8e9-a89226a4dc80,,,1,,,,,
Intercommunity Justice and Peace Center ,Human Trafficking,https://documentcloud.adobe.com/link/track?uri=urn:aaid:scds:US:62f7e5d2-cfe5-4bc1-ac05-b317a224abc3,,,1,,,,,
Intercommunity Justice and Peace Center ,Human Trafficking,http://ijpccincinnati.org/wp-content/uploads/2021/05/Spring-2021-FINAL-WEB.pdf,,,,,,1,,
Intercommunity Justice and Peace Center ,Human Trafficking,http://ijpccincinnati.org/wp-content/uploads/2021/03/Winter-2021-Newsletter-Final-WEB.pdf,,,,,,1,,
Intercommunity Justice and Peace Center ,Human Trafficking,http://ijpccincinnati.org/wp-content/uploads/2020/12/Fall-2020-Final-WEB.pdf,,,,,,1,,
Intercommunity Justice and Peace Center ,Human Trafficking,http://ijpccincinnati.org/wp-content/uploads/2020/09/Summer-2020-FINAL-WEB.pdf,,,,,,1,,
Intercommunity Justice and Peace Center ,Human Trafficking,http://ijpccincinnati.org/wp-content/uploads/2020/05/Spring-2020-WEB.pdf,,,,,,1,,
Intercommunity Justice and Peace Center ,Human Trafficking,http://ijpccincinnati.org/wp-content/uploads/2020/02/Winter-2020-Newsletter-WEB.pdf,,,,,,1,,
Intercommunity Justice and Peace Center ,Human Trafficking,http://ijpccincinnati.org/wp-content/uploads/2019/12/Fall-2019-Newsletter-WEB.pdf,,,,,,1,,
Intercommunity Justice and Peace Center ,Human Trafficking,http://ijpccincinnati.org/wp-content/uploads/2019/09/Summer-2019-WEB.pdf,,,,,,1,,
Intercommunity Justice and Peace Center ,Human Trafficking,http://ijpccincinnati.org/wp-content/uploads/2019/05/Spring-2019-WEB.pdf,,,,,,1,,
Intercommunity Justice and Peace Center ,Human Trafficking,http://ijpccincinnati.org/wp-content/uploads/2019/02/Winter-2019-Newsletter-for-web.pdf,,,,,,1,,
Intercommunity Justice and Peace Center ,Human Trafficking,http://ijpccincinnati.org/wp-content/uploads/2018/11/Fall-2018-Newsletter-for-web.pdf,,,,,,1,,
Intercommunity Justice and Peace Center ,Human Trafficking,http://ijpccincinnati.org/wp-content/uploads/2018/08/Summer-2018-NL-For-Web.pdf,,,,,,1,,
Intercommunity Justice and Peace Center ,Human Trafficking,http://ijpccincinnati.org/wp-content/uploads/2018/05/Spring-2018-For-Web.pdf,,,,,,1,,
Intercommunity Justice and Peace Center ,Human Trafficking,http://ijpccincinnati.org/wp-content/uploads/2018/02/Winter-2018-For-Web.pdf,,,,,,1,,
Intercommunity Justice and Peace Center ,Human Trafficking,http://ijpccincinnati.org/wp-content/uploads/2017/11/Fall-2017-For-Web.pdf,,,,,,1,,
Intercommunity Justice and Peace Center ,Human Trafficking,http://ijpccincinnati.org/wp-content/uploads/2017/08/Summer-2017-For-Web.pdf,,,,,,1,,
Intercommunity Justice and Peace Center ,Human Trafficking,http://ijpccincinnati.org/wp-content/uploads/2017/05/Spring-2017-For-Web.pdf,,,,,,1,,
Intercommunity Justice and Peace Center ,Human Trafficking,http://ijpccincinnati.org/wp-content/uploads/2017/02/Winter-2017-For-Web.pdf,,,,,,1,,
Intercommunity Justice and Peace Center ,Human Trafficking,http://ijpccincinnati.org/wp-content/uploads/2016/11/Fall-2016-For-Print.pdf,,,,,,1,,
