Organization Name,Topic area,URL,Main Web Page,Mission Statement,Policy Isssue Resources,Campaign and Advocacy,Public Facing Advocacy Writing,Newsletters,Annual reports,Speeches,,,,,,,,,,,,,,,
Intercommunity Justice and Peace Center,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://ijpccincinnati.org/,1,,,,,,,,,,,,,,,,,,,,,,
Intercommunity Justice and Peace Center,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://ijpccincinnati.org/about/what-we-do/,,1,,,,,,,,,,,,,,,,,,,,,
Intercommunity Justice and Peace Center,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://ijpccincinnati.org/programs/immigration/,,1,,,,,,,,,,,,,,,,,,,,,
Intercommunity Justice and Peace Center,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://ijpccincinnati.org/programs/immigration/know-your-rights/,,,1,,,,,,,,,,,,,,,,,,,,
Intercommunity Justice and Peace Center,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://drive.google.com/file/d/0B01FQQbeDWOxOU1aWE11LTllSVQ2a1M2NGk4Q19WQ0JFZFFz/view,,,1,,,,,,,,,,,,,,,,,,,,
Intercommunity Justice and Peace Center,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://ijpccincinnati.org/programs/immigration/educational-resources/,,,1,,,,,,,,,,,,,,,,,,,,
Intercommunity Justice and Peace Center,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.youtube.com/watch?v=CpD2gp3Rgl0,,,1,,,,,,,,,,,,,,,,,,,,
Intercommunity Justice and Peace Center,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.wehaverights.us/,,,1,,,,,,,,,,,,,,,,,,,,
Intercommunity Justice and Peace Center,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://ijpccincinnati.org/programs/immigration/yes-program/,,,,1,,,,,,,,,,,,,,,,,,,
Intercommunity Justice and Peace Center,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://ijpccincinnati.org/immigrant-dignity-coalition/,,,,1,,,,,,,,,,,,,,,,,,,
