Organization Name,Topic area,URL,Main Web Page,Mission Statement,Policy Isssue Resources,Campaign and Advocacy,Public Facing Advocacy Writing,Newsletters,Annual reports,SpeechWTranscript,SpeechNoTranscript,NOTES
Native American Rights Fund ,Indigenous Peoples' Rights ,https://www.narf.org/,1,,,,,,,,,
Native American Rights Fund ,Indigenous Peoples' Rights ,https://www.narf.org/about-us/,,1,,,,,,,,
Native American Rights Fund ,Indigenous Peoples' Rights ,https://narf.org/nill/documents/nlr/nlr47-1.pdf,,,1,,,,,,,
Native American Rights Fund ,Indigenous Peoples' Rights ,https://narf.org/nill/documents/nlr/nlr46-2.pdf,,,1,,,,,,,
Native American Rights Fund ,Indigenous Peoples' Rights ,https://narf.org/nill/documents/nlr/nlr46-1.pdf,,,1,,,,,,,
Native American Rights Fund A12,Indigenous Peoples' Rights ,https://www.narf.org/nill/documents/nlr/nlr45-2.pdf,,,1,,,,,,,
Native American Rights Fund ,Indigenous Peoples' Rights ,https://narf.org/nill/documents/nlr/nlr45-1.pdf,,,1,,,,,,,
Native American Rights Fund ,Indigenous Peoples' Rights ,https://narf.org/nill/documents/nlr/nlr44-2.pdf,,,1,,,,,,,
Native American Rights Fund ,Indigenous Peoples' Rights ,https://narf.org/nill/documents/nlr/nlr44-1.pdf,,,1,,,,,,,
Native American Rights Fund ,Indigenous Peoples' Rights ,http://narf.org/nill/documents/nlr/nlr43-2.pdf,,,1,,,,,,,
Native American Rights Fund ,Indigenous Peoples' Rights ,http://narf.org/nill/documents/nlr/nlr43-1.pdf,,,1,,,,,,,
Native American Rights Fund ,Indigenous Peoples' Rights ,http://narf.org/nill/documents/nlr/nlr42-2.pdf,,,1,,,,,,,
Native American Rights Fund ,Indigenous Peoples' Rights ,http://narf.org/nill/documents/nlr/nlr42-1.pdf,,,1,,,,,,,
Native American Rights Fund ,Indigenous Peoples' Rights ,http://narf.org/nill/documents/nlr/nlr41-2.pdf,,,1,,,,,,,
Native American Rights Fund ,Indigenous Peoples' Rights ,http://narf.org/nill/documents/nlr/nlr41-1.pdf,,,1,,,,,,,
Native American Rights Fund ,Indigenous Peoples' Rights ,http://narf.org/nill/documents/nlr/nlr40-2.pdf,,,1,,,,,,,
Native American Rights Fund ,Indigenous Peoples' Rights ,http://narf.org/nill/documents/nlr/nlr40-1.pdf,,,1,,,,,,,
Native American Rights Fund ,Indigenous Peoples' Rights ,http://narf.org/nill/documents/nlr/nlr39-2.pdf,,,1,,,,,,,
Native American Rights Fund ,Indigenous Peoples' Rights ,http://narf.org/nill/documents/nlr/nlr39-1.pdf,,,1,,,,,,,
Native American Rights Fund ,Indigenous Peoples' Rights ,http://narf.org/nill/documents/nlr/nlr38-2.pdf,,,1,,,,,,,
Native American Rights Fund ,Indigenous Peoples' Rights ,http://narf.org/nill/documents/nlr/nlr38-1.pdf,,,1,,,,,,,
Native American Rights Fund ,Indigenous Peoples' Rights ,http://narf.org/nill/documents/nlr/nlr37-2.pdf,,,1,,,,,,,
Native American Rights Fund ,Indigenous Peoples' Rights ,http://narf.org/nill/documents/nlr/nlr37-1.pdf,,,1,,,,,,,
Native American Rights Fund ,Indigenous Peoples' Rights ,http://narf.org/nill/documents/nlr/nlr36-2.pdf,,,1,,,,,,,
Native American Rights Fund ,Indigenous Peoples' Rights ,http://narf.org/nill/documents/nlr/nlr36-1.pdf,,,1,,,,,,,
Native American Rights Fund ,Indigenous Peoples' Rights ,http://narf.org/nill/documents/nlr/nlr35-2.pdf,,,1,,,,,,,
Native American Rights Fund ,Indigenous Peoples' Rights ,http://narf.org/nill/documents/nlr/nlr35-1.pdf,,,1,,,,,,,
Native American Rights Fund ,Indigenous Peoples' Rights ,http://narf.org/nill/documents/nlr/nlr34-1.pdf,,,1,,,,,,,
Native American Rights Fund ,Indigenous Peoples' Rights ,http://narf.org/nill/documents/nlr/nlr32-2.pdf,,,1,,,,,,,
Native American Rights Fund ,Indigenous Peoples' Rights ,http://narf.org/nill/documents/nlr/nlr31-2.pdf,,,1,,,,,,,
Native American Rights Fund ,Indigenous Peoples' Rights ,http://narf.org/nill/documents/nlr/nlr31-1.pdf,,,1,,,,,,,
Native American Rights Fund ,Indigenous Peoples' Rights ,https://www.narf.org/history-matters-according-great-plains-tribal-chairmans-association-brief-halt-construction-dakota-access-pipeline/,,,,1,,,,,,
Native American Rights Fund ,Indigenous Peoples' Rights ,https://www.narf.org/what-happened-in-2016/,,,,1,,,,,,
