Organization Name,Topic area,URL,Main Web Page,Mission Statement,Policy Isssue Resources,Campaign and Advocacy,Public Facing Advocacy Writing,Newsletters,Annual reports,SpeechWTranscript,SpeechNoTranscript,NOTES
NAMI,"Mental Heath, Addiction, and Recovery Issues",https://www.nami.org/Home,1,,,,,,,,,
NAMI,"Mental Heath, Addiction, and Recovery Issues",https://www.nami.org/About-NAMI,,1,,,,,,,,
NAMI,"Mental Heath, Addiction, and Recovery Issues",https://www.nami.org/About-NAMI/Who-We-Are,,1,,,,,,,,
NAMI,"Mental Heath, Addiction, and Recovery Issues",https://www.nami.org/About-NAMI/What-We-Do,,1,,,,,,,,
NAMI,"Mental Heath, Addiction, and Recovery Issues",https://www.nami.org/NAMI/media/NAMI-Media/Public%20Policy/Undercovered_Report_03252021.pdf,,1,,,,,,,,
NAMI,"Mental Heath, Addiction, and Recovery Issues",https://www.nami.org/getattachment/About-NAMI/Publications/Reports/GTS06_final.pdf,,1,,,,,,,,
NAMI,"Mental Heath, Addiction, and Recovery Issues",https://www.nami.org/getattachment/About-NAMI/Publications/Reports/NAMIStateBudgetCrisis2011.pdf,,1,,,,,,,,
NAMI,"Mental Heath, Addiction, and Recovery Issues",https://www.nami.org/NAMI/media/NAMI-Media/Public%20Policy/NAMI-Federal-Agenda-2021.pdf,,,1,,,,,,,
NAMI,"Mental Heath, Addiction, and Recovery Issues",https://www.nami.org/getattachment/About-NAMI/Policy-Platform/Public-Policy-Platform-up-to-12-09-16.pdf,,,1,,,,,,,
NAMI,"Mental Heath, Addiction, and Recovery Issues",https://nami.org/About-NAMI/NAMI-News/2021/Young-Adults-with-Mood-Disorders-Often-Not-Receiving-Mental-Health-Care-Survey-Finds,,,,1,,,,,,
NAMI,"Mental Heath, Addiction, and Recovery Issues",https://nami.org/Press-Media/Press-Releases/2021/Communities-of-Color-Face-Greater-Challenges-Finding-Effective-Therapy-National-Survey-Finds,,,,1,,,,,,
