Organization Name,Topic area,URL,Main Web Page,Mission Statement,Policy Isssue Resources,Campaign and Advocacy,Public Facing Advocacy Writing,Newsletters,Annual reports,Speeches,
Sex Workers Outreach Project,Sex Workers' rights and Human Trafficking,https://swopusa.org/,1,,,,,,,,
Sex Workers Outreach Project,Sex Workers' rights and Human Trafficking,https://swopusa.org/about-us/mission-statement/,,1,,,,,,,
Sex Workers Outreach Project,Sex Workers' rights and Human Trafficking,https://swopusa.org/learn-about-sex-work/,,,1,,,,,,
Sex Workers Outreach Project,Sex Workers' rights and Human Trafficking,https://swopusa.org/blog/2017/03/28/research-summary-the-role-of-sex-work-stigma-in-victim-blaming-and-empathy-of-sexual-assault-survivors/,,,1,,,,,,
Sex Workers Outreach Project,Sex Workers' rights and Human Trafficking,http://www.new.swopusa.org/wp-content/uploads/2017/02/FACTSHEET-MINORITYSTRESSANDSEXWORK-SWOPUSA-1.pdf,,,1,,,,,,
Sex Workers Outreach Project,Sex Workers' rights and Human Trafficking,http://www.new.swopusa.org/wp-content/uploads/2017/03/Copy-of-2014-Day-to-End-Violence-Fact-Sheet.pdf,,,1,,,,,,
Sex Workers Outreach Project,Sex Workers' rights and Human Trafficking,http://www.new.swopusa.org/wp-content/uploads/2017/03/Trans-Sex-Workers-Fact-Sheet.pdf,,,1,,,,,,
Sex Workers Outreach Project,Sex Workers' rights and Human Trafficking,http://www.new.swopusa.org/wp-content/uploads/2017/02/FACTSHEET-MINORITYSTRESSANDSEXWORK-SWOPUSA-1.pdf,,,1,,,,,,
Sex Workers Outreach Project,Sex Workers' rights and Human Trafficking,http://www.new.swopusa.org/wp-content/uploads/2017/02/ETHICAL_RESEARCH_WITH_SEXWORKERS_FACTSHEET.pdf,,,1,,,,,,
Sex Workers Outreach Project,Sex Workers' rights and Human Trafficking,http://www.new.swopusa.org/wp-content/uploads/2017/03/HIV-Sex-Work.pdf,,,1,,,,,,
Sex Workers Outreach Project,Sex Workers' rights and Human Trafficking,http://www.new.swopusa.org/wp-content/uploads/2017/03/Explaining-Sex-Worker-Rights-No-Legalization-Decrim-overview.pdf,,,1,,,,,,
Sex Workers Outreach Project,Sex Workers' rights and Human Trafficking,http://www.new.swopusa.org/wp-content/uploads/2017/03/Sexual-Assault-Sex-Workers-USA-Fact-Sheet-Two-Side-Hand-Out.pdf,,,1,,,,,,
Sex Workers Outreach Project,Sex Workers' rights and Human Trafficking,https://swopusa.org/blog/2020/06/25/call-to-action-tell-your-senator-to-vote-against-the-earnit-act/,,,,1,,,,,
Sex Workers Outreach Project,Sex Workers' rights and Human Trafficking,https://swopusa.org/blog/category/call-to-action/,,,,1,,,,,
Sex Workers Outreach Project,Sex Workers' rights and Human Trafficking,https://swopusa.org/blog/2017/07/10/moral-panic-monthly-super-bowl-anti-sex-trafficking-campaign-harms-minnesota-sex-workers/,,,,1,,,,,
Sex Workers Outreach Project,Sex Workers' rights and Human Trafficking,https://swopusa.org/blog/2016/03/01/latesha-sentencing-youth-as-adults-and-the-hypocrisy-of-anti-trafficking-rhetoric-practice/,,,,1,,,,,
Sex Workers Outreach Project,Sex Workers' rights and Human Trafficking,https://swopusa.org/blog/2016/02/04/tell-oregon-to-to-vote-no-on-hb-4082/,,,,1,,,,,
Sex Workers Outreach Project,Sex Workers' rights and Human Trafficking,https://swopusa.org/blog/2016/02/04/four-things-to-do-to-help-pass-hb-1614/,,,,1,,,,,
Sex Workers Outreach Project,Sex Workers' rights and Human Trafficking,https://swopusa.org/donate/,,,,1,,,,,
Sex Workers Outreach Project,Sex Workers' rights and Human Trafficking,http://www.new.swopusa.org/wp-content/uploads/2017/03/How-To-Be-an-Ally.pdf,,,,1,,,,,
Sex Workers Outreach Project,Sex Workers' rights and Human Trafficking,http://www.new.swopusa.org/wp-content/uploads/2017/03/Celebrating-Pride-Intersections-between-the-GLBTQ-and-Sex-Work-Community.pdf,,,,1,,,,,
Sex Workers Outreach Project,Sex Workers' rights and Human Trafficking,https://swopusa.org/blog/2020/06/15/staff-profile-phoenix-calida-communications-director/,,,,,1,,,,
Sex Workers Outreach Project,Sex Workers' rights and Human Trafficking,https://swopusa.org/blog/2020/06/15/staff-profile-velvet-managing-director/,,,,,1,,,,
