Organization Name,Topic area,URL,Main Web Page,Mission Statement,Policy Isssue Resources,Campaign and Advocacy,Public Facing Advocacy Writing,Newsletters,Annual reports,SpeechWTranscript,SpeechNoTranscript,NOTES,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/,1,,,,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/who-we-are/mission-and-vision,,1,,,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/what-we-do,,1,,,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/what-we-do/issues/corporate-human-rights-abuses,,,1,,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/get-involved/tools-resources/publications/us-engagement-universal-periodic-review-process-upr,,,1,,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/bowoto-v-chevron-murder-and-torture-nigerians-protesting-oil-company,,,1,,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/what-we-do/issues/drone-killings,,,1,,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/what-we-do/issues/guantanamo,,,1,,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/faces-guantanamo-2022,,,1,,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/sites/default/files/attach/2021/10/Majid%20Khan%27s%20Summary%20of%20His%20Torture%20.pdf,,,1,,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/statement-majid-khan-october-2021,,,1,,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/un-committee-against-torture-cat-review-us-government,,,1,,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/what-we-do/issues/torture-war-crimes-militarism,,,1,,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/when-healers-harm-hold-health-professionals-accountable-torture,,,1,,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/get-involved/tools-resources/fact-sheets-and-faqs/faqs-does-us-torture-people,,,1,,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/sites/default/files/assets/Report_ReportOnTorture.pdf,,,1,,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/sites/default/files/assets/FINAL%20updated%20rendition%20to%20torture%20report%20dec%2008.pdf,,,1,,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/sites/default/files/assets/CCR_100days_End_Torture_and_Rendition_0.pdf,,,1,,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/what-we-do/issues/muslim-profiling,,,1,,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/what-we-do/our-cases/al-shimari-v-caci-et-al,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/what-we-do/our-cases/saleh-et-al-v-titan-et-al,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/what-we-do/our-cases/al-quraishi-et-al-v-nakhla-and-l-3-services,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/what-we-do/our-cases/ccr-and-aclu-v-ofac-al-aulaqi-v-obama,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/what-we-do/our-cases/ibrahim-v-department-homeland-security-amicus,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/ruling-abu-ghraib-torture-lawsuit-headed-trial,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/get-involved/tools-resources/fact-sheets-and-faqs/accountability-torture-private-military,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/what-we-do/our-cases/khan-v-obama-khan-v-gates-united-states-v-khan,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/what-we-do/our-cases/al-bihani-v-obama,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/what-we-do/our-cases/mohammed-kamin-periodic-review-board-prb-proceedings,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/what-we-do/our-cases/ghazy-v-bush,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/what-we-do/our-cases/arar-v-ashcroft-et-al,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/center-constitutional-rights-launches-911-effect-resource-site,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/sites/default/files/Episode-42--Reflecting-on-20-years-of-the-war-terror-at-home--federal%20prosecutions--transcript.pdf,,,,1,,,,,,"This is a podcast transcript. This episode is a look back at Gunatanamo (because of its 20 year anniversary) with several reflections on torture, victim-specific abuses, and the general conditions of GTMO. There is advocacy on behalf of one torture victim by his brother",,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/sites/default/files/Episode-13-Justice-for-Abu-Ghraib-with-Katherine-Gallagher-and-Baher-Azmy-transcript.pdf,,,,1,,,,,,"This is a podcast transcript focused on CCR's efforts to bring accountability for torture. In the episode, CCR focuses on a specific case that is ongoing. Commentary is provided by various CCR staff, including their legal director",,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/sites/default/files/attach/2022/02/1-31-22_ADV_FacesGMTO_FINAL.pdf,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/sharqawi-al-hajj,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/abdul-razak-ali,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/mohammed-al-qahtani,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/salah-al-ejaili,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/sufyian-barhoumi,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/majid-khan,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/guled-hassan-duran,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/abdul-razak-ali,,,,1,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/resource-senate-select-committee-intelligence-ssci-cia-torture-report,,,,1,,,,,,,,,,,,,,,,,,,,
